attendance,away_team,game_type,home_team,venue,day_of_week,sky,total_runs,game_hours_dec,season,home_team_outcome
40030,New York Mets,Night Game,Kansas City Royals,Kauffman Stadium,Sunday,Sunny,7,3.216666667,regular,Win
21621,Philadelphia Phillies,Night Game,Cincinnati Reds,Great American Ball Park,Wednesday,Overcast,5,2.383333333,regular,Win
12622,Minnesota Twins,Night Game,Baltimore Orioles,Oriole Park at Camden Yard,Wednesday,Unknown,6,3.183333333,regular,Win
18531,Washington Nationals,Night Game,Atlanta Braves,Turner Field,Wednesday,Cloudy,4,2.883333333,regular,Loss
18572,Colorado Rockies,Day Game,Arizona Diamondbacks,Chase Field,Wednesday,In Dome,7,2.65,regular,Loss
28386,Seattle Mariners,Night Game,Texas Rangers,Globe Life Park in Arlington,Tuesday,Cloudy,12,3.5,regular,Loss
12757,Toronto Blue Jays,Night Game,Tampa Bay Rays,Tropicana Field,Tuesday,In Dome,5,3.116666667,regular,Win
28329,Los Angeles Dodgers,Night Game,San Diego Padres,Petco Park,Tuesday,Unknown,3,2.6,regular,Loss
26049,St. Louis Cardinals,Night Game,Pittsburgh Pirates,PNC Park,Tuesday,Sunny,11,3.45,regular,Win
10478,Chicago White Sox,Night Game,Oakland Athletics,Oakland-Alameda County Coliseum,Tuesday,Cloudy,9,3.466666667,regular,Loss
47820,Houston Astros,Day Game,New York Yankees,Yankee Stadium III,Tuesday,Sunny,8,3.283333333,regular,Loss
24123,San Francisco Giants,Night Game,Milwaukee Brewers,Miller Park,Tuesday,In Dome,3,2.483333333,regular,Loss
36911,Detroit Tigers,Night Game,Miami Marlins,Marlins Park,Tuesday,Sunny,15,3.783333333,regular,Loss
13468,Texas Rangers,Night Game,Seattle Mariners,Safeco Field,Monday,Unknown,10,3,regular,Loss
45229,San Diego Padres,Day Game,Philadelphia Phillies,Citizens Bank Park,Monday,Unknown,7,2.85,regular,Loss
13371,Los Angeles Angels of Anaheim,Night Game,Oakland Athletics,Oakland-Alameda County Coliseum,Monday,Cloudy,5,3.083333333,regular,Loss
24318,Miami Marlins,Night Game,New York Mets,Citi Field,Monday,Unknown,13,3.75,regular,Loss
40638,Chicago White Sox,Day Game,Minnesota Twins,Target Field,Monday,Cloudy,5,3.083333333,regular,Loss
43332,Kansas City Royals,Night Game,Houston Astros,Minute Maid Park,Monday,In Dome,10,2.983333333,regular,Win
26271,Pittsburgh Pirates,Day Game,Detroit Tigers,Comerica Park,Monday,Overcast,11,3.283333333,regular,Loss
40882,Cincinnati Reds,Night Game,Chicago Cubs,Wrigley Field,Monday,Cloudy,8,3.05,regular,Win
21203,Kansas City Royals,Night Game,Houston Astros,Minute Maid Park,Thursday,Cloudy,8,2.683333333,regular,Loss
21226,San Francisco Giants,Day Game,Colorado Rockies,Coors Field,Thursday,Cloudy,17,3.433333333,regular,Win
34898,Cincinnati Reds,Night Game,Chicago Cubs,Wrigley Field,Thursday,Sunny,9,3.116666667,regular,Win
19400,Atlanta Braves,Night Game,Washington Nationals,Nationals Park,Wednesday,Sunny,3,2.2,regular,Win
27938,New York Yankees,Night Game,Toronto Blue Jays,Rogers Centre,Wednesday,In Dome,9,2.716666667,regular,Win
16783,Toronto Blue Jays,Night Game,Baltimore Orioles,Oriole Park at Camden Yards,Tuesday,Sunny,7,2.833333333,regular,Loss
14160,Los Angeles Dodgers,Night Game,Atlanta Braves,Turner Field,Tuesday,Unknown,9,2.95,regular,Win
45432,Chicago Cubs,Night Game,St. Louis Cardinals,Busch Stadium III,Monday,Unknown,5,2.533333333,regular,Loss
41432,Arizona Diamondbacks,Night Game,San Francisco Giants,AT&T Park,Monday,Cloudy,16,4.583333333,regular,Loss
21585,New York Mets,Night Game,Philadelphia Phillies,Citizens Bank Park,Monday,Sunny,7,2.85,regular,Loss
21078,Milwaukee Brewers,Night Game,Minnesota Twins,Target Field,Monday,Unknown,11,2.35,regular,Win
16112,Washington Nationals,Night Game,Miami Marlins,Marlins Park,Monday,In Dome,7,2.716666667,regular,Win
12777,Colorado Rockies,Night Game,Cincinnati Reds,Great American Ball Park,Monday,Sunny,6,2.683333333,regular,Loss
14706,Los Angeles Angels of Anaheim,Night Game,Chicago White Sox,U.S. Cellular Field,Monday,Unknown,7,2.966666667,regular,Loss
37168,Toronto Blue Jays,Day Game,Boston Red Sox,Fenway Park,Monday,Cloudy,7,3.2,regular,Loss
21810,Chicago White Sox,Day Game,Tampa Bay Rays,Tropicana Field,Sunday,In Dome,5,2.6,regular,Win
46268,Cincinnati Reds,Day Game,St. Louis Cardinals,Busch Stadium III,Sunday,Cloudy,7,2.733333333,regular,Win
16497,Chicago Cubs,Night Game,Cincinnati Reds,Great American Ball Park,Thursday,Overcast,16,2.933333333,regular,Loss
24333,Chicago White Sox,Night Game,Toronto Blue Jays,Rogers Centre,Monday,In Dome,12,3.4,regular,Loss
31453,New York Yankees,Night Game,Texas Rangers,Globe Life Park in Arlington,Monday,Cloudy,4,2.766666667,regular,Loss
12996,Baltimore Orioles,Night Game,Tampa Bay Rays,Tropicana Field,Monday,In Dome,2,2.616666667,regular,Win
41266,San Diego Padres,Night Game,San Francisco Giants,AT&T Park,Monday,Sunny,9,3.783333333,regular,Win
14832,Houston Astros,Night Game,Seattle Mariners,Safeco Field,Monday,Cloudy,5,2.666666667,regular,Win
30250,Cincinnati Reds,Night Game,New York Mets,Citi Field,Monday,Cloudy,8,3.183333333,regular,Win
17503,Cleveland Indians,Night Game,Minnesota Twins,Target Field,Monday,Overcast,7,3.4,regular,Win
44954,Miami Marlins,Night Game,Los Angeles Dodgers,Dodger Stadium,Monday,Sunny,5,2.85,regular,Loss
21671,Oakland Athletics,Night Game,Detroit Tigers,Comerica Park,Monday,Unknown,10,2.65,regular,Win
20674,Pittsburgh Pirates,Night Game,Colorado Rockies,Coors Field,Monday,Unknown,7,2.983333333,regular,Loss
22735,Boston Red Sox,Night Game,Atlanta Braves,Turner Field,Monday,Cloudy,1,2.916666667,regular,Loss
18208,St. Louis Cardinals,Night Game,Arizona Diamondbacks,Chase Field,Monday,In Dome,19,3.433333333,regular,Win
41357,San Diego Padres,Day Game,San Francisco Giants,AT&T Park,Wednesday,Overcast,22,3.35,regular,Win
27217,Toronto Blue Jays,Day Game,Tampa Bay Rays,Tropicana Field,Sunday,In Dome,6,2.566666667,regular,Loss
42933,Washington Nationals,Day Game,St. Louis Cardinals,Busch Stadium III,Sunday,Cloudy,7,2.783333333,regular,Loss
37053,Kansas City Royals,Day Game,Seattle Mariners,Safeco Field,Sunday,Sunny,5,3.233333333,regular,Loss
28755,Cincinnati Reds,Day Game,Pittsburgh Pirates,PNC Park,Sunday,Unknown,11,3.7,regular,Loss
23809,Cleveland Indians,Day Game,Philadelphia Phillies,Citizens Bank Park,Sunday,Overcast,3,2.666666667,regular,Win
24135,Houston Astros,Day Game,Oakland Athletics,Oakland-Alameda County Coliseum,Sunday,Sunny,3,2.833333333,regular,Loss
39077,San Francisco Giants,Day Game,New York Mets,Citi Field,Sunday,Drizzle,7,3.316666667,regular,Loss
24749,Detroit Tigers,Day Game,Minnesota Twins,Target Field,Sunday,Cloudy,11,3.55,regular,Loss
28181,Miami Marlins,Day Game,Milwaukee Brewers,Miller Park,Sunday,In Dome,19,3.35,regular,Win
49271,San Diego Padres,Day Game,Los Angeles Dodgers,Dodger Stadium,Sunday,Sunny,1,2.116666667,regular,Win
40164,Atlanta Braves,Day Game,Chicago Cubs,Wrigley Field,Sunday,Overcast,7,3.066666667,regular,Loss
34279,New York Yankees,Night Game,Boston Red Sox,Fenway Park,Sunday,Drizzle,15,3.283333333,regular,Win
40087,Philadelphia Phillies,Night Game,St. Louis Cardinals,Busch Stadium III,Tuesday,Cloudy,1,2.516666667,regular,Loss
42338,Pittsburgh Pirates,Day Game,St. Louis Cardinals,Busch Stadium III,Saturday,Sunny,10,3.383333333,regular,Win
41590,Colorado Rockies,Day Game,San Francisco Giants,AT&T Park,Saturday,Overcast,3,4.333333333,regular,Win
41028,New York Mets,Night Game,San Diego Padres,Petco Park,Saturday,Sunny,9,2.866666667,regular,Loss
47822,Boston Red Sox,Day Game,New York Yankees,Yankee Stadium III,Saturday,Unknown,10,3.15,regular,Win
21719,Philadelphia Phillies,Night Game,Miami Marlins,Marlins Park,Saturday,Sunny,7,3.333333333,regular,Loss
31559,Seattle Mariners,Night Game,Houston Astros,Minute Maid Park,Saturday,Cloudy,5,3.45,regular,Loss
35551,Texas Rangers,Day Game,Detroit Tigers,Comerica Park,Saturday,Overcast,15,3.233333333,regular,Loss
17302,Kansas City Royals,Day Game,Cleveland Indians,Progressive Field,Saturday,Overcast,7,2.683333333,regular,Loss
27567,Milwaukee Brewers,Night Game,Cincinnati Reds,Great American Ball Park,Saturday,Overcast,20,3.633333333,regular,Loss
40471,Washington Nationals,Day Game,Chicago Cubs,Wrigley Field,Saturday,Sunny,13,3.533333333,regular,Win
28049,Minnesota Twins,Night Game,Chicago White Sox,U.S. Cellular Field,Saturday,Sunny,9,2.966666667,regular,Win
29862,Oakland Athletics,Night Game,Baltimore Orioles,Oriole Park at Camden Yards,Saturday,Sunny,7,2.533333333,regular,Win
15230,Tampa Bay Rays,Night Game,Seattle Mariners,Safeco Field,Monday,Cloudy,7,3.083333333,regular,Win
14604,Oakland Athletics,Night Game,Tampa Bay Rays,Tropicana Field,Friday,In Dome,9,3.116666667,regular,Loss
34579,Los Angeles Angels of Anaheim,Night Game,Seattle Mariners,Safeco Field,Friday,Unknown,13,3.683333333,regular,Loss
22230,Cincinnati Reds,Night Game,Philadelphia Phillies,Citizens Bank Park,Friday,Unknown,5,2.616666667,regular,Win
34264,Chicago White Sox,Night Game,New York Yankees,Yankee Stadium III,Friday,Drizzle,8,2.75,regular,Loss
35291,San Diego Padres,Night Game,Milwaukee Brewers,Miller Park,Friday,In Dome,1,2.933333333,regular,Win
46716,St. Louis Cardinals,Night Game,Los Angeles Dodgers,Dodger Stadium,Friday,Cloudy,12,3.016666667,regular,Win
33132,Atlanta Braves,Night Game,Kansas City Royals,Kauffman Stadium,Friday,Unknown,6,2.75,regular,Win
38712,New York Mets,Night Game,Colorado Rockies,Coors Field,Friday,Unknown,7,2.8,regular,Win
17803,Minnesota Twins,Night Game,Cleveland Indians,Progressive Field,Friday,Sunny,13,3.116666667,regular,Win
37479,Pittsburgh Pirates,Day Game,Chicago Cubs,Wrigley Field,Friday,Cloudy,13,2.916666667,regular,Win
33148,Houston Astros,Night Game,Boston Red Sox,Fenway Park,Friday,Unknown,13,3.816666667,regular,Loss
30488,Detroit Tigers,Night Game,Baltimore Orioles,Oriole Park at Camden Yards,Friday,Sunny,1,2.65,regular,Win
27869,Cincinnati Reds,Day Game,Philadelphia Phillies,Citizens Bank Park,Sunday,Unknown,13,3.866666667,regular,Loss
27257,Atlanta Braves,Night Game,Philadelphia Phillies,Citizens Bank Park,Friday,Unknown,8,3,regular,Loss
28235,New York Yankees,Night Game,Oakland Athletics,Oakland-Alameda County Coliseum,Friday,Unknown,11,3.216666667,regular,Loss
36239,Milwaukee Brewers,Night Game,New York Mets,Citi Field,Friday,Sunny,5,2.516666667,regular,Win
29396,Toronto Blue Jays,Night Game,Minnesota Twins,Target Field,Friday,Cloudy,12,2.8,regular,Loss
20017,Washington Nationals,Night Game,Miami Marlins,Marlins Park,Friday,In Dome,5,2.883333333,regular,Loss
28724,Texas Rangers,Night Game,Houston Astros,Minute Maid Park,Friday,Sunny,3,2.55,regular,Loss
30304,Tampa Bay Rays,Night Game,Detroit Tigers,Comerica Park,Friday,Unknown,12,3.433333333,regular,Loss
20435,Seattle Mariners,Night Game,Cincinnati Reds,Great American Ball Park,Friday,Rain,11,3.166666667,regular,Loss
24020,Kansas City Royals,Night Game,Chicago White Sox,U.S. Cellular Field,Friday,Unknown,5,2.983333333,regular,Loss
37354,Cleveland Indians,Night Game,Boston Red Sox,Fenway Park,Friday,Cloudy,6,3.116666667,regular,Loss
40987,Baltimore Orioles,Night Game,Los Angeles Angels of Anaheim,Angel Stadium of Anaheim,Friday,Cloudy,13,3.333333333,regular,Loss
43683,Colorado Rockies,Night Game,St. Louis Cardinals,Busch Stadium III,Thursday,Overcast,20,3.266666667,regular,Win
41280,Baltimore Orioles,Day Game,Los Angeles Angels of Anaheim,Angel Stadium of Anaheim,Sunday,Cloudy,12,2.55,regular,Win
26176,St. Louis Cardinals,Night Game,Washington Nationals,Nationals Park,Thursday,Cloudy,3,2.45,regular,Win
11399,Miami Marlins,Day Game,Tampa Bay Rays,Tropicana Field,Thursday,In Dome,10,2.85,regular,Loss
30861,Arizona Diamondbacks,Day Game,Pittsburgh Pirates,PNC Park,Thursday,Cloudy,11,3.666666667,regular,Win
38391,Toronto Blue Jays,Day Game,New York Yankees,Yankee Stadium III,Thursday,Sunny,4,2.566666667,regular,Loss
23826,Baltimore Orioles,Night Game,Houston Astros,Minute Maid Park,Thursday,In Dome,6,3.05,regular,Win
36162,Colorado Rockies,Night Game,Boston Red Sox,Fenway Park,Thursday,Unknown,10,2.85,regular,Loss
14885,Milwaukee Brewers,Night Game,Atlanta Braves,Turner Field,Thursday,Cloudy,8,3.083333333,regular,Loss
38700,New York Mets,Day Game,Washington Nationals,Nationals Park,Wednesday,Unknown,2,2.633333333,regular,Loss
32480,Los Angeles Angels of Anaheim,Day Game,Texas Rangers,Globe Life Park in Arlington,Wednesday,Unknown,24,3.566666667,regular,Win
13554,Miami Marlins,Night Game,Tampa Bay Rays,Tropicana Field,Wednesday,In Dome,7,3.366666667,regular,Loss
45565,Chicago Cubs,Day Game,St. Louis Cardinals,Busch Stadium III,Wednesday,Cloudy,17,3.633333333,regular,Loss
41363,San Diego Padres,Day Game,San Francisco Giants,AT&T Park,Wednesday,Overcast,7,3.366666667,regular,Win
36538,Houston Astros,Day Game,Los Angeles Angels of Anaheim,Angel Stadium of Anaheim,Sunday,Unknown,14,4.95,regular,Loss
21764,Arizona Diamondbacks,Day Game,Houston Astros,Minute Maid Park,Thursday,In Dome,3,2.6,regular,Loss
28213,New York Yankees,Night Game,Detroit Tigers,Comerica Park,Thursday,Cloudy,9,2.933333333,regular,Loss
28080,Cincinnati Reds,Night Game,Colorado Rockies,Coors Field,Thursday,Cloudy,15,2.733333333,regular,Loss
11131,Kansas City Royals,Night Game,Cleveland Indians,Progressive Field,Thursday,Cloudy,9,2.9,regular,Win
37422,Los Angeles Dodgers,Day Game,Chicago Cubs,Wrigley Field,Thursday,Sunny,9,2.416666667,regular,Win
21534,Boston Red Sox,Night Game,Baltimore Orioles,Oriole Park at Camden Yards,Thursday,Cloudy,19,2.95,regular,Win
15983,San Francisco Giants,Day Game,Atlanta Braves,Turner Field,Thursday,Cloudy,6,2.816666667,regular,Loss
39512,New York Yankees,Night Game,Toronto Blue Jays,Rogers Centre,Wednesday,Sunny,7,2.95,regular,Win
20557,Seattle Mariners,Night Game,San Diego Padres,Petco Park,Wednesday,Unknown,20,3.333333333,regular,Win
19052,Washington Nationals,Night Game,Philadelphia Phillies,Citizens Bank Park,Wednesday,Unknown,9,2.75,regular,Loss
11345,Minnesota Twins,Day Game,Oakland Athletics,Oakland-Alameda County Coliseum,Wednesday,Sunny,6,2.55,regular,Win
34160,Chicago White Sox,Day Game,New York Mets,Citi Field,Wednesday,Cloudy,3,4.683333333,regular,Loss
45453,San Francisco Giants,Night Game,St. Louis Cardinals,Busch Stadium III,Saturday,Cloudy,11,2.65,regular,Win
41448,Baltimore Orioles,Night Game,Toronto Blue Jays,Rogers Centre,Thursday,Unknown,11,3.2,regular,Loss
30145,Houston Astros,Day Game,Texas Rangers,Globe Life Park in Arlington,Thursday,Cloudy,8,2.85,regular,Win
19901,Cleveland Indians,Night Game,Seattle Mariners,Safeco Field,Thursday,Cloudy,8,3.65,regular,Loss
34971,Los Angeles Angels of Anaheim,Night Game,New York Yankees,Yankee Stadium III,Thursday,Sunny,9,2.966666667,regular,Win
18792,Miami Marlins,Night Game,Minnesota Twins,Target Field,Thursday,Cloudy,13,3.066666667,regular,Loss
22980,New York Mets,Night Game,Milwaukee Brewers,Miller Park,Thursday,Cloudy,7,3.066666667,regular,Loss
24678,Pittsburgh Pirates,Day Game,Colorado Rockies,Coors Field,Thursday,Sunny,16,2.883333333,regular,Win
24516,St. Louis Cardinals,Night Game,Cincinnati Reds,Great American Ball Park,Thursday,Sunny,5,2.933333333,regular,Loss
20014,Washington Nationals,Night Game,Chicago White Sox,U.S. Cellular Field,Thursday,Cloudy,4,2.35,regular,Win
37696,Houston Astros,Night Game,Texas Rangers,Globe Life Park in Arlington,Wednesday,Cloudy,4,2.816666667,regular,Loss
41635,Boston Red Sox,Night Game,San Francisco Giants,AT&T Park,Wednesday,Unknown,3,2.75,regular,Win
15337,Cleveland Indians,Night Game,Seattle Mariners,Safeco Field,Wednesday,Cloudy,5,2.683333333,regular,Win
31625,Chicago Cubs,Day Game,Atlanta Braves,Turner Field,Sunday,Cloudy,15,3.7,regular,Loss
33568,Detroit Tigers,Night Game,Kansas City Royals,Kauffman Stadium,Thursday,Sunny,14,3.25,regular,Loss
36757,Baltimore Orioles,Night Game,Boston Red Sox,Fenway Park,Thursday,Sunny,6,2.883333333,regular,Loss
21885,Cincinnati Reds,Day Game,Atlanta Braves,Turner Field,Thursday,Sunny,9,2.933333333,regular,Win
42000,Chicago Cubs,Day Game,Washington Nationals,Nationals Park,Wednesday,Cloudy,9,4.283333333,regular,Win
12239,Seattle Mariners,Night Game,Tampa Bay Rays,Tropicana Field,Wednesday,In Dome,5,4.633333333,regular,Win
42008,Houston Astros,Night Game,St. Louis Cardinals,Busch Stadium III,Wednesday,Cloudy,5,2.933333333,regular,Loss
41811,Milwaukee Brewers,Day Game,San Francisco Giants,AT&T Park,Wednesday,Unknown,11,2.933333333,regular,Win
20037,Miami Marlins,Day Game,San Diego Padres,Petco Park,Wednesday,Sunny,9,2.966666667,regular,Win
24753,Toronto Blue Jays,Night Game,Philadelphia Phillies,Citizens Bank Park,Wednesday,Unknown,9,2.85,regular,Loss
10115,Texas Rangers,Night Game,Oakland Athletics,Oakland-Alameda County Coliseum,Wednesday,Cloudy,12,3.133333333,regular,Loss
32117,Pittsburgh Pirates,Night Game,New York Mets,Citi Field,Wednesday,Cloudy,13,3.1,regular,Win
33546,Cleveland Indians,Night Game,Kansas City Royals,Kauffman Stadium,Wednesday,Sunny,13,2.783333333,regular,Win
25078,Los Angeles Angels of Anaheim,Day Game,Oakland Athletics,Oakland-Alameda County Coliseum,Saturday,Sunny,8,3.083333333,regular,Loss
40104,Colorado Rockies,Day Game,New York Yankees,Yankee Stadium III,Wednesday,Sunny,17,3.416666667,regular,Win
25032,Philadelphia Phillies,Night Game,Minnesota Twins,Target Field,Wednesday,Cloudy,11,2.8,regular,Win
22642,Atlanta Braves,Day Game,Miami Marlins,Marlins Park,Wednesday,In Dome,3,2.45,regular,Win
43776,Washington Nationals,Night Game,Los Angeles Dodgers,Dodger Stadium,Wednesday,Sunny,7,3.583333333,regular,Win
29649,Los Angeles Angels of Anaheim,Day Game,Houston Astros,Minute Maid Park,Wednesday,In Dome,5,3.15,regular,Win
31497,Seattle Mariners,Night Game,Detroit Tigers,Comerica Park,Wednesday,Unknown,6,2.65,regular,Win
21216,Tampa Bay Rays,Night Game,Cleveland Indians,Progressive Field,Wednesday,Sunny,7,2.5,regular,Win
41058,St. Louis Cardinals,Day Game,Chicago Cubs,Wrigley Field,Wednesday,Cloudy,9,3.033333333,regular,Loss
37413,Chicago White Sox,Night Game,Boston Red Sox,Fenway Park,Wednesday,Cloudy,14,3.633333333,regular,Loss
23785,San Diego Padres,Night Game,Baltimore Orioles,Oriole Park at Camden Yards,Wednesday,Cloudy,9,2.716666667,regular,Win
41838,Arizona Diamondbacks,Night Game,Toronto Blue Jays,Rogers Centre,Tuesday,Sunny,6,2.7,regular,Loss
32291,Cincinnati Reds,Night Game,Texas Rangers,Globe Life Park in Arlington,Tuesday,Cloudy,10,2.483333333,regular,Loss
33040,Tampa Bay Rays,Night Game,Baltimore Orioles,Oriole Park at Camden Yards,Saturday,Sunny,14,3.25,regular,Win
44840,Kansas City Royals,Night Game,St. Louis Cardinals,Busch Stadium III,Wednesday,Cloudy,5,4.466666667,regular,Loss
25477,Pittsburgh Pirates,Night Game,Seattle Mariners,Safeco Field,Wednesday,Sunny,9,2.783333333,regular,Loss
25221,Baltimore Orioles,Day Game,San Diego Padres,Petco Park,Wednesday,Sunny,18,3.116666667,regular,Loss
32810,San Francisco Giants,Night Game,Oakland Athletics,Oakland-Alameda County Coliseum,Wednesday,Overcast,8,2.733333333,regular,Win
39875,Texas Rangers,Night Game,New York Yankees,Yankee Stadium III,Wednesday,Cloudy,16,3.316666667,regular,Win
26566,Los Angeles Dodgers,Night Game,Milwaukee Brewers,Miller Park,Wednesday,Sunny,7,2.5,regular,Win
31760,Miami Marlins,Day Game,Detroit Tigers,Comerica Park,Wednesday,Sunny,13,3.216666667,regular,Win
38412,Toronto Blue Jays,Day Game,Colorado Rockies,Coors Field,Wednesday,Cloudy,8,3.283333333,regular,Loss
37188,Chicago Cubs,Day Game,Cincinnati Reds,Great American Ball Park,Wednesday,Unknown,11,3.233333333,regular,Loss
18571,Minnesota Twins,Night Game,Chicago White Sox,U.S. Cellular Field,Wednesday,Cloudy,15,3.05,regular,Win
16600,Cleveland Indians,Night Game,Atlanta Braves,Turner Field,Wednesday,Cloudy,3,2.85,regular,Loss
18603,Philadelphia Phillies,Day Game,Arizona Diamondbacks,Chase Field,Wednesday,In Dome,17,3.883333333,regular,Loss
46608,Colorado Rockies,Night Game,Los Angeles Dodgers,Dodger Stadium,Saturday,Sunny,7,3.183333333,regular,Win
27657,Oakland Athletics,Day Game,Minnesota Twins,Target Field,Wednesday,Cloudy,4,2.733333333,regular,Win
40899,Baltimore Orioles,Day Game,Los Angeles Dodgers,Dodger Stadium,Wednesday,Sunny,10,5.433333333,regular,Loss
25709,Seattle Mariners,Night Game,Houston Astros,Minute Maid Park,Wednesday,In Dome,17,3.533333333,regular,Win
24098,Detroit Tigers,Day Game,Cleveland Indians,Progressive Field,Wednesday,Unknown,14,3.216666667,regular,Loss
41262,Cincinnati Reds,Day Game,Chicago Cubs,Wrigley Field,Wednesday,Sunny,8,2.933333333,regular,Loss
21144,New York Yankees,Night Game,Chicago White Sox,U.S. Cellular Field,Wednesday,Unknown,5,2.9,regular,Win
37175,Texas Rangers,Night Game,Boston Red Sox,Fenway Park,Wednesday,Cloudy,17,3.316666667,regular,Win
17091,San Diego Padres,Night Game,Arizona Diamondbacks,Chase Field,Wednesday,In Dome,19,3.166666667,regular,Loss
25138,Milwaukee Brewers,Night Game,Washington Nationals,Nationals Park,Tuesday,Cloudy,7,2.866666667,regular,Loss
35917,Kansas City Royals,Night Game,Toronto Blue Jays,Rogers Centre,Tuesday,Unknown,11,2.533333333,regular,Win
14896,Los Angeles Angels of Anaheim,Night Game,Tampa Bay Rays,Tropicana Field,Tuesday,In Dome,18,3.316666667,regular,Loss
41444,Pittsburgh Pirates,Night Game,St. Louis Cardinals,Busch Stadium III,Tuesday,Sunny,7,3.116666667,regular,Loss
43288,Los Angeles Angels of Anaheim,Day Game,Baltimore Orioles,Oriole Park at Camden Yards,Saturday,Unknown,5,3.233333333,regular,Win
38861,Pittsburgh Pirates,Night Game,Washington Nationals,Nationals Park,Saturday,Unknown,6,2.6,regular,Win
18638,Baltimore Orioles,Night Game,Tampa Bay Rays,Tropicana Field,Saturday,In Dome,3,2.55,regular,Loss
44840,Miami Marlins,Night Game,St. Louis Cardinals,Busch Stadium III,Saturday,Sunny,5,2.65,regular,Win
41386,Houston Astros,Day Game,Seattle Mariners,Safeco Field,Saturday,Unknown,1,2.766666667,regular,Win
40550,San Francisco Giants,Night Game,San Diego Padres,Petco Park,Saturday,Sunny,13,4.083333333,regular,Win
37324,New York Mets,Night Game,Philadelphia Phillies,Citizens Bank Park,Saturday,Unknown,6,3.183333333,regular,Win
27510,Toronto Blue Jays,Day Game,Oakland Athletics,Oakland-Alameda County Coliseum,Saturday,Sunny,9,2.683333333,regular,Win
48329,Boston Red Sox,Day Game,New York Yankees,Yankee Stadium III,Saturday,Cloudy,7,2.933333333,regular,Loss
29447,Cleveland Indians,Night Game,Minnesota Twins,Target Field,Saturday,Cloudy,9,3.833333333,regular,Win
39594,Kansas City Royals,Night Game,Detroit Tigers,Comerica Park,Saturday,Unknown,12,3.266666667,regular,Loss
31328,Milwaukee Brewers,Night Game,Cincinnati Reds,Great American Ball Park,Saturday,Sunny,10,3.05,regular,Loss
41346,Texas Rangers,Day Game,Chicago Cubs,Wrigley Field,Saturday,Sunny,4,2.783333333,regular,Win
31144,Cleveland Indians,Night Game,Kansas City Royals,Kauffman Stadium,Tuesday,Cloudy,10,2.766666667,regular,Loss
34695,Atlanta Braves,Day Game,Colorado Rockies,Coors Field,Sunday,Cloudy,9,2.933333333,regular,Win
25304,Arizona Diamondbacks,Day Game,Cincinnati Reds,Great American Ball Park,Sunday,Cloudy,17,3.533333333,regular,Loss
30281,Detroit Tigers,Day Game,Chicago White Sox,U.S. Cellular Field,Sunday,Sunny,9,3,regular,Win
36806,Minnesota Twins,Day Game,Boston Red Sox,Fenway Park,Sunday,Cloudy,15,3.25,regular,Win
37821,Cleveland Indians,Day Game,Baltimore Orioles,Oriole Park at Camden Yards,Sunday,Cloudy,8,2.766666667,regular,Win
30747,San Diego Padres,Night Game,Washington Nationals,Nationals Park,Saturday,Cloudy,5,3.016666667,regular,Win
47517,Seattle Mariners,Day Game,Toronto Blue Jays,Rogers Centre,Saturday,Sunny,19,3.3,regular,Loss
45477,Los Angeles Dodgers,Night Game,St. Louis Cardinals,Busch Stadium III,Saturday,Sunny,9,2.933333333,regular,Loss
35802,Philadelphia Phillies,Day Game,Pittsburgh Pirates,PNC Park,Saturday,Cloudy,11,3.583333333,regular,Win
30436,Tampa Bay Rays,Night Game,Oakland Athletics,Oakland-Alameda County Coliseum,Saturday,Sunny,7,2.366666667,regular,Win
46727,San Francisco Giants,Day Game,New York Yankees,Yankee Stadium III,Saturday,Sunny,3,4.416666667,regular,Loss
44643,Chicago Cubs,Night Game,Milwaukee Brewers,Miller Park,Saturday,In Dome,7,2.933333333,regular,Win
,St. Louis Cardinals,Day Game,New York Mets,Citi Field,Tuesday,Cloudy,5,3.3,regular,Loss
41743,Washington Nationals,Day Game,San Francisco Giants,AT&T Park,Saturday,Cloudy,8,3.483333333,regular,Win
31620,Cincinnati Reds,Night Game,San Diego Padres,Petco Park,Saturday,Cloudy,3,2.733333333,regular,Win
42207,Colorado Rockies,Night Game,New York Mets,Citi Field,Saturday,Unknown,9,3.15,regular,Loss
27914,Chicago White Sox,Night Game,Minnesota Twins,Target Field,Saturday,Cloudy,11,3.383333333,regular,Loss
36663,Pittsburgh Pirates,Night Game,Milwaukee Brewers,Miller Park,Saturday,Cloudy,8,3.316666667,regular,Win
25011,St. Louis Cardinals,Night Game,Miami Marlins,Marlins Park,Saturday,In Dome,11,3.033333333,regular,Win
49540,Arizona Diamondbacks,Night Game,Los Angeles Dodgers,Dodger Stadium,Saturday,Sunny,6,3.4,regular,Loss
34673,Houston Astros,Night Game,Detroit Tigers,Comerica Park,Saturday,Cloudy,5,2.816666667,regular,Win
32850,Oakland Athletics,Night Game,Cleveland Indians,Progressive Field,Saturday,Cloudy,9,2.65,regular,Win
41401,Seattle Mariners,Day Game,Chicago Cubs,Wrigley Field,Saturday,Unknown,5,2.616666667,regular,Loss
38236,Philadelphia Phillies,Night Game,Atlanta Braves,Turner Field,Saturday,Unknown,14,3.666666667,regular,Loss
43150,Boston Red Sox,Night Game,Los Angeles Angels of Anaheim,Angel Stadium of Anaheim,Saturday,Sunny,7,3.1,regular,Win
