attendance,away_team,game_type,home_team,venue,day_of_week,sky,total_runs,game_hours_dec,season,home_team_outcome
35832,Philadelphia Phillies,Night Game,New York Mets,Citi Field,Saturday,Sunny,13,3.116666667,regular,Win
38843,Baltimore Orioles,Day Game,New York Yankees,Yankee Stadium III,Saturday,Sunny,18,3.483333333,regular,Win
35925,Pittsburgh Pirates,Night Game,Milwaukee Brewers,Miller Park,Saturday,Unknown,15,3.35,regular,Loss
20007,San Diego Padres,Night Game,Miami Marlins,Marlins Park,Saturday,In Dome,1,3.183333333,regular,Loss
49522,Chicago Cubs,Day Game,Los Angeles Dodgers,Dodger Stadium,Saturday,Cloudy,5,3.133333333,regular,Win
36544,Tampa Bay Rays,Night Game,Houston Astros,Minute Maid Park,Saturday,In Dome,8,2.966666667,regular,Win
33115,Los Angeles Angels of Anaheim,Night Game,Detroit Tigers,Comerica Park,Saturday,Overcast,5,3.283333333,regular,Loss
27318,Seattle Mariners,Night Game,Chicago White Sox,U.S. Cellular Field,Saturday,Unknown,12,2.85,regular,Win
37933,Kansas City Royals,Night Game,Boston Red Sox,Fenway Park,Saturday,Cloudy,11,3.05,regular,Win
34395,Cincinnati Reds,Night Game,Arizona Diamondbacks,Chase Field,Saturday,In Dome,13,2.533333333,regular,Loss
33433,Colorado Rockies,Night Game,Washington Nationals,Nationals Park,Friday,Sunny,13,3.066666667,regular,Win
42534,Minnesota Twins,Night Game,Toronto Blue Jays,Rogers Centre,Friday,Cloudy,23,3.183333333,regular,Win
31853,Cleveland Indians,Night Game,Texas Rangers,Globe Life Park in Arlington,Friday,Unknown,13,3.283333333,regular,Loss
40221,Oakland Athletics,Night Game,St. Louis Cardinals,Busch Stadium III,Friday,Unknown,4,2.433333333,regular,Win
41283,Atlanta Braves,Night Game,San Francisco Giants,AT&T Park,Friday,Cloudy,7,2.85,regular,Win
31111,Philadelphia Phillies,Night Game,New York Mets,Citi Field,Friday,Cloudy,13,2.933333333,regular,Win
38423,Baltimore Orioles,Night Game,New York Yankees,Yankee Stadium III,Friday,Sunny,18,2.85,regular,Win
40023,New York Mets,Night Game,St. Louis Cardinals,Busch Stadium III,Thursday,Cloudy,16,3.466666667,regular,Loss
26437,Detroit Tigers,Day Game,Minnesota Twins,Target Field,Thursday,Overcast,13,2.816666667,regular,Loss
20296,Pittsburgh Pirates,Night Game,Milwaukee Brewers,Miller Park,Thursday,Unknown,5,3.333333333,regular,Loss
19045,Kansas City Royals,Night Game,Miami Marlins,Marlins Park,Thursday,In Dome,7,3.216666667,regular,Loss
53297,San Francisco Giants,Night Game,Los Angeles Dodgers,Dodger Stadium,Thursday,Sunny,4,3.033333333,regular,Loss
19072,Seattle Mariners,Night Game,Chicago White Sox,U.S. Cellular Field,Thursday,Unknown,13,3.1,regular,Win
18698,Atlanta Braves,Night Game,Arizona Diamondbacks,Chase Field,Thursday,In Dome,4,2.916666667,regular,Loss
39100,Baltimore Orioles,Night Game,Washington Nationals,Nationals Park,Wednesday,Cloudy,18,3.466666667,regular,Loss
44404,Los Angeles Angels of Anaheim,Night Game,Toronto Blue Jays,Rogers Centre,Wednesday,Sunny,10,3.35,regular,Loss
11896,Boston Red Sox,Night Game,Tampa Bay Rays,Tropicana Field,Wednesday,In Dome,7,3.683333333,regular,Win
40053,New York Mets,Night Game,St. Louis Cardinals,Busch Stadium III,Wednesday,Cloudy,9,2.916666667,regular,Win
41536,New York Yankees,Day Game,Seattle Mariners,Safeco Field,Wednesday,Sunny,5,3.3,regular,Loss
30033,Chicago Cubs,Day Game,San Diego Padres,Petco Park,Wednesday,Sunny,9,2.916666667,regular,Loss
23717,Houston Astros,Day Game,Pittsburgh Pirates,PNC Park,Wednesday,Cloudy,9,2.933333333,regular,Loss
12795,Cleveland Indians,Day Game,Oakland Athletics,Oakland-Alameda County Coliseum,Wednesday,Cloudy,6,2.616666667,regular,Win
24309,Detroit Tigers,Night Game,Minnesota Twins,Target Field,Wednesday,Overcast,13,3.066666667,regular,Loss
26702,Colorado Rockies,Day Game,Milwaukee Brewers,Miller Park,Wednesday,Unknown,8,3.016666667,regular,Win
17894,Kansas City Royals,Night Game,Miami Marlins,Marlins Park,Wednesday,In Dome,3,2.583333333,regular,Win
43957,San Francisco Giants,Night Game,Los Angeles Dodgers,Dodger Stadium,Wednesday,Sunny,1,2.783333333,regular,Win
16100,Texas Rangers,Night Game,Cincinnati Reds,Great American Ball Park,Wednesday,Overcast,11,2.733333333,regular,Loss
15630,Philadelphia Phillies,Night Game,Chicago White Sox,U.S. Cellular Field,Wednesday,Cloudy,8,2.733333333,regular,Loss
15376,Atlanta Braves,Night Game,Arizona Diamondbacks,Chase Field,Wednesday,In Dome,19,4.766666667,regular,Win
46696,Los Angeles Angels of Anaheim,Night Game,Toronto Blue Jays,Rogers Centre,Tuesday,Sunny,9,2.633333333,regular,Win
11249,Boston Red Sox,Night Game,Tampa Bay Rays,Tropicana Field,Tuesday,In Dome,3,3.15,regular,Loss
40082,New York Mets,Night Game,St. Louis Cardinals,Busch Stadium III,Tuesday,Unknown,11,3.2,regular,Loss
24628,New York Yankees,Night Game,Seattle Mariners,Safeco Field,Tuesday,Sunny,6,2.75,regular,Loss
33614,Chicago Cubs,Night Game,San Diego Padres,Petco Park,Tuesday,Sunny,8,2.916666667,regular,Loss
28760,Houston Astros,Night Game,Pittsburgh Pirates,PNC Park,Tuesday,Cloudy,8,2.533333333,regular,Win
13141,Cleveland Indians,Night Game,Oakland Athletics,Oakland-Alameda County Coliseum,Tuesday,Cloudy,10,2.716666667,regular,Win
24379,Detroit Tigers,Night Game,Minnesota Twins,Target Field,Tuesday,Overcast,11,2.75,regular,Loss
21460,Colorado Rockies,Night Game,Milwaukee Brewers,Miller Park,Tuesday,Sunny,10,3.483333333,regular,Win
18513,Kansas City Royals,Night Game,Miami Marlins,Marlins Park,Tuesday,In Dome,1,2.833333333,regular,Loss
46899,San Francisco Giants,Night Game,Los Angeles Dodgers,Dodger Stadium,Tuesday,Sunny,14,3.6,regular,Win
16668,Texas Rangers,Night Game,Cincinnati Reds,Great American Ball Park,Tuesday,Cloudy,3,2.65,regular,Win
18843,Philadelphia Phillies,Night Game,Chicago White Sox,U.S. Cellular Field,Tuesday,Cloudy,10,2.633333333,regular,Win
26697,Washington Nationals,Night Game,Baltimore Orioles,Oriole Park at Camden Yards,Tuesday,Sunny,9,3.2,regular,Win
18780,Atlanta Braves,Night Game,Arizona Diamondbacks,Chase Field,Tuesday,In Dome,11,3.383333333,regular,Loss
13576,Boston Red Sox,Night Game,Tampa Bay Rays,Tropicana Field,Monday,In Dome,8,3.216666667,regular,Loss
24384,New York Yankees,Night Game,Seattle Mariners,Safeco Field,Monday,Sunny,12,2.933333333,regular,Win
31707,Chicago Cubs,Night Game,San Diego Padres,Petco Park,Monday,Sunny,6,3.316666667,regular,Loss
24017,Houston Astros,Night Game,Pittsburgh Pirates,PNC Park,Monday,Cloudy,4,2.283333333,regular,Loss
10114,Cleveland Indians,Night Game,Oakland Athletics,Oakland-Alameda County Coliseum,Monday,Unknown,1,2.483333333,regular,Loss
20458,Colorado Rockies,Night Game,Milwaukee Brewers,Miller Park,Monday,Sunny,6,2.9,regular,Win
15690,Los Angeles Dodgers,Day Game,Cincinnati Reds,Great American Ball Park,Monday,Cloudy,27,4.033333333,regular,Loss
31660,Washington Nationals,Night Game,Baltimore Orioles,Oriole Park at Camden Yards,Monday,Cloudy,7,2.516666667,regular,Win
15789,Atlanta Braves,Night Game,Arizona Diamondbacks,Chase Field,Monday,In Dome,17,3.3,regular,Win
17685,Texas Rangers,Day Game,Tampa Bay Rays,Tropicana Field,Sunday,In Dome,12,3.016666667,regular,Win
